Date;Filière;Frontière;Valeur (TWh)
2005-01;"Exportations";"Italie";1,9
2005-02;"Exportations";"Italie";1,66
2005-03;"Exportations";"Italie";1,72
2005-04;"Exportations";"Italie";1,71
2005-05;"Exportations";"Italie";1,68
2005-06;"Exportations";"Italie";1,61
2005-07;"Exportations";"Italie";1,72
2005-08;"Exportations";"Italie";1,09
2005-09;"Exportations";"Italie";1,68
2005-10;"Exportations";"Italie";1,9
2005-11;"Exportations";"Italie";1,61
2005-12;"Exportations";"Italie";1,09
2006-01;"Exportations";"Italie";0,74
2006-02;"Exportations";"Italie";0,76
2006-03;"Exportations";"Italie";1,08
2006-04;"Exportations";"Italie";1,85
2006-05;"Exportations";"Italie";1,72
2006-06;"Exportations";"Italie";1,67
2006-07;"Exportations";"Italie";1,45
2006-08;"Exportations";"Italie";1,09
2006-09;"Exportations";"Italie";1,69
2006-10;"Exportations";"Italie";1,9
2006-11;"Exportations";"Italie";1,84
2006-12;"Exportations";"Italie";1,88
2007-01;"Exportations";"Italie";1,93
2007-02;"Exportations";"Italie";1,74
2007-03;"Exportations";"Italie";1,93
2007-04;"Exportations";"Italie";1,86
2007-05;"Exportations";"Italie";1,73
2007-06;"Exportations";"Italie";1,68
2007-07;"Exportations";"Italie";1,74
2007-08;"Exportations";"Italie";1,42
2007-09;"Exportations";"Italie";1,67
2007-10;"Exportations";"Italie";1,65
2007-11;"Exportations";"Italie";1,41
2007-12;"Exportations";"Italie";1,6
2008-01;"Exportations";"Italie";1,75
2008-02;"Exportations";"Italie";1,64
2008-03;"Exportations";"Italie";1,57
2008-04;"Exportations";"Italie";1,48
2008-05;"Exportations";"Italie";1,63
2008-06;"Exportations";"Italie";1,06
2008-07;"Exportations";"Italie";1,58
2008-08;"Exportations";"Italie";1,21
2008-09;"Exportations";"Italie";1,3
2008-10;"Exportations";"Italie";1,2
2008-11;"Exportations";"Italie";1,66
2008-12;"Exportations";"Italie";1,77
2009-01;"Exportations";"Italie";1,73
2009-02;"Exportations";"Italie";1,74
2009-03;"Exportations";"Italie";1,92
2009-04;"Exportations";"Italie";1,57
2009-05;"Exportations";"Italie";1,58
2009-06;"Exportations";"Italie";1,51
2009-07;"Exportations";"Italie";1,67
2009-08;"Exportations";"Italie";1,01
2009-09;"Exportations";"Italie";1,35
2009-10;"Exportations";"Italie";1,16
2009-11;"Exportations";"Italie";1,51
2009-12;"Exportations";"Italie";1,45
2010-01;"Exportations";"Italie";1,31
2010-02;"Exportations";"Italie";1,63
2010-03;"Exportations";"Italie";1,78
2010-04;"Exportations";"Italie";1,52
2010-05;"Exportations";"Italie";1,23
2010-06;"Exportations";"Italie";1,47
2010-07;"Exportations";"Italie";1,63
2010-08;"Exportations";"Italie";0,83
2010-09;"Exportations";"Italie";1,33
2010-10;"Exportations";"Italie";1,31
2010-11;"Exportations";"Italie";1,42
2010-12;"Exportations";"Italie";0,82
2011-01;"Exportations";"Italie";1,37
2011-02;"Exportations";"Italie";1,63
2011-03;"Exportations";"Italie";1,54
2011-04;"Exportations";"Italie";1,46
2011-05;"Exportations";"Italie";1,34
2011-06;"Exportations";"Italie";1,27
2011-07;"Exportations";"Italie";1,02
2011-08;"Exportations";"Italie";0,78
2011-09;"Exportations";"Italie";0,78
2011-10;"Exportations";"Italie";1,64
2011-11;"Exportations";"Italie";1,67
2011-12;"Exportations";"Italie";1,6
2012-01;"Exportations";"Italie";1,58
2012-02;"Exportations";"Italie";1,28
2012-03;"Exportations";"Italie";1,74
2012-04;"Exportations";"Italie";1,27
2012-05;"Exportations";"Italie";1,34
2012-06;"Exportations";"Italie";1,21
2012-07;"Exportations";"Italie";0,83
2012-08;"Exportations";"Italie";0,61
2012-09;"Exportations";"Italie";0,79
2012-10;"Exportations";"Italie";1,62
2012-11;"Exportations";"Italie";1,59
2012-12;"Exportations";"Italie";1,29
2013-01;"Exportations";"Italie";1,5
2013-02;"Exportations";"Italie";1,55
2013-03;"Exportations";"Italie";1,18
2013-04;"Exportations";"Italie";1,02
2013-05;"Exportations";"Italie";1,17
2013-06;"Exportations";"Italie";1,29
2013-07;"Exportations";"Italie";0,96
2013-08;"Exportations";"Italie";0,91
2013-09;"Exportations";"Italie";1,21
2013-10;"Exportations";"Italie";1,8
2013-11;"Exportations";"Italie";1,46
2013-12;"Exportations";"Italie";1,34
2014-01;"Exportations";"Italie";1,76
2014-02;"Exportations";"Italie";1,82
2014-03;"Exportations";"Italie";1,84
2014-04;"Exportations";"Italie";1,19
2014-05;"Exportations";"Italie";1,22
2014-06;"Exportations";"Italie";1,37
2014-07;"Exportations";"Italie";1,37
2014-08;"Exportations";"Italie";1,2
2014-09;"Exportations";"Italie";1,73
2014-10;"Exportations";"Italie";2,27
2014-11;"Exportations";"Italie";1,98
2014-12;"Exportations";"Italie";1,58
2015-01;"Exportations";"Italie";2
2015-02;"Exportations";"Italie";1,82
2015-03;"Exportations";"Italie";1,79
2015-04;"Exportations";"Italie";1,35
2015-05;"Exportations";"Italie";1,39
2015-06;"Exportations";"Italie";1,46
2015-07;"Exportations";"Italie";1,52
2015-08;"Exportations";"Italie";1,01
2015-09;"Exportations";"Italie";1,68
